RUBiS Transition Table	Default transition set																													
																														
"To >>>
From vvvv  "	Home	Reg.	Reg. User	Browse	Br. Cat.	Search Items Cat.	Br. Reg.	Br. Cat. Reg.	Search Items Reg.	View Item	View User Info	View Bid Hist.	Buy Now Auth	Buy Now	Store Buy Now	Put Bid Auth	Put Bid	Store Bid	Put Com. Auth	Put Comment	Store Comment	Sell	Cat. Sell Item	Sell Item Form	Reg. Item	About Me (auth)	About Me	GetAuctionsReadyForClose	CloesAuction	Transition waiting time
Home	0	0.0001	0.01	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.01	0.0001	0.0001	0.01	0.0001	0.0001	0.01	0.0001	0.0001	0.0001	0.01	0.0001	0.002	0.0001	0.01	0
Register	0.07	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
RegisterUser	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Browse	0.67	0.0055	0.55	0	0.0055	0.0055	0.0055	0.0055	0.0055	0.0055	0.0055	0.0055	0.0055	0.0055	0.55	0.0055	0.0055	0.55	0.0055	0.0055	0.55	0.0055	0.0055	0.0055	0.55	0.0055	0.11	0.0055	0.55	0
BrowseCategories	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SearchItemsInCategory	0	0	0	0	0.99	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BrowseRegions	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BrowseCategoriesInRegion	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SearchItemsInRegion	0	0	0	0	0	0	0	0.99	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ViewItem	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0
ViewUserInfo	0	0	0	0	0	0	0	0	0	0.1	0.19	0.19	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.05	0	0	0
ViewBidHistory	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
BuyNowAuth	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BuyNow	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
StoreBuyBow	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PutBidAuth	0	0	0	0	0	0.09	0	0	0.09	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
PutBid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
StoreBid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0
PutCommentAuth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PutComment	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.05	0	0.99	0	0	0	0	0	0	0	0	0	0	0
StoreComment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0
Sell	0.05	0.0005	0.05	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.05	0.0005	0.0005	0.05	0.0005	0.0005	0.05	0.0005	0.0005	0.0005	0.05	0.0005	0.01	0.0005	0.05	0
SelectCategoryToSellItem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0
SellItemForm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0
RegisterItem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0
AboutMe (auth form)	0.15	0.0015	0.15	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.15	0.0015	0.0015	0.15	0.0015	0.0015	0.15	0.0015	0.0015	0.0015	0.15	0.0015	0.03	0.0015	0.15	0
AboutMe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0
GetAuctionsReadyForClose	0.03	0.0003	0.03	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.03	0.0003	0.0003	0.03	0.0003	0.0003	0.03	0.0003	0.0003	0.0003	0.03	0.0003	0.006	0.0003	0.03	0
CloseAuction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0
Back probability	0	0	0	0	0	0	0	0	0	0.5	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
End of Session	0	0	0.2	0	0	0.2	0	0	0.2	0.2	0.2	0	0	0	0.2	0	0	0.2	0	0	0.2	0	0	0	0.2	0	0.2	0	0.2	0
Header probability	0	0.01	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1	0.01	0.01	1	0.01	0.01	1	0.01	0.01	0.01	1	0.01	0.2	0.01	1	
																														
																														
Probabilities for header																														
HomeProb	0.01			0	Value that is automatically computed																									
RegisterProb	0.01			0	Value that has to be set manually																									
BrowseProb	0.55			0	State where we can potentially go back (value must be set to 0)																									
SellProb	0.05																													
AboutMeProb	0.15																													
CloseAuctionProb	0.03																													
EndOfSessionProb	0.2																													
Total	1																													
																														
Probabilities for home page																														
RegisterProb	0.07																													
BrowseProb	0.67																													
SellProb	0.08																													
AboutMeProb	0.15																													
CloseAuctionProb	0.03																													
Total	1																													

